NAME,CATEGORY,CODE,UNIT COST,SELLING PRICE,QTY,UNIT,REORDER_LEVEL,SUPPLIER,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18
MODULE LED YLW,LIGHTS,NS,₱10.00,₱35.00,20,PC,0,NA,,,,,,,,,,,,,,,,
MUFFLER CLAMP YAMAKOTO,ACCESSORIES,MF,₱45.00,₱150.00,2,PC,0,NA,,,,,,,,,,,,,,,,
MUFFLER CRP NMAX/AEROX V2/V3,EXHAUST,FLSC,"₱5,800.00","₱7,200.00",1,PC,0,NA,,,,,,,,,,,,,,,,
MUFFLER FODIUM 1 RACING XRM110 BLK,EXHAUST,NZFS,"₱1,650.00","₱2,500.00",1,PC,0,NA,,,,,,,,,,,,,,,,
MUFFLER JVT MIO SPORTY V3,EXHAUST,NZBS,"₱1,620.00","₱7,350.00",1,PC,0,NA,,,,,,,,,,,,,,,,
MUFFLER MOTOSPEED W100/SMASH,EXHAUST,NQSC,"₱1,300.00","₱2,200.00",1,PC,0,NA,,,,,,,,,,,,,,,,
MUFFLER SPEED R150 CARB,EXHAUST,MMSC,"₱4,400.00","₱2,200.00",1,PC,0,NA,,,,,,,,,,,,,,,,
NEUTRAL LIGHT SWITCH YAMAKOTO RUSI125,SWITCHES,NSC,₱100.00,₱250.00,1,PC,0,NA,,,,,,,,,,,,,,,,
NUT HENG CNC MIO/CLICK/PCX/NMAX/AEROXV2,BOLT&NUT,NLS,₱180.00,₱380.00,4,PC,0,NA,,,,,,,,,,,,,,,,
NUT ORD 10MM,BOLT&NUT,N,₱1.00,₱5.00,188,PC,0,NA,,,,,,,,,,,,,,,,
NUT ORD 12MM,BOLT&NUT,Q,₱3.00,₱10.00,38,PC,0,NA,,,,,,,,,,,,,,,,
NUT ORD 5MM,BOLT&NUT,N,₱1.00,₱5.00,36,PC,0,NA,,,,,,,,,,,,,,,,
NUT ORD 6MM,BOLT&NUT,N,₱1.00,₱5.00,128,PC,0,NA,,,,,,,,,,,,,,,,
NUT ORD 8MM,BOLT&NUT,N,₱1.00,₱5.00,140,PC,0,NA,,,,,,,,,,,,,,,,
NUT S/S 5MM,BOLT&NUT,N,₱1.00,₱10.00,34,PC,0,NA,,,,,,,,,,,,,,,,
NUT S/S 6MM,BOLT&NUT,B,₱2.00,₱10.00,69,PC,0,NA,,,,,,,,,,,,,,,,
OIL FILTER BAJAJ/CT100,LUBE&FLUIDS,BF,₱25.00,₱50.00,16,PC,0,NA,,,,,,,,,,,,,,,,
OIL FILTER BAJAJ/CT100,FUEL SYSTEM,BF,₱25.00,₱50.00,16,PC,0,NA,,,,,,,,,,,,,,,,
OIL FILTER KAWASAKI,LUBE&FLUIDS,BS,₱20.00,₱50.00,23,PC,0,NA,,,,,,,,,,,,,,,,
OIL FILTER KAWASAKI,FUEL SYSTEM,BS,₱20.00,₱50.00,23,PC,0,NA,,,,,,,,,,,,,,,,
OIL FILTER SHOGUN,LUBE&FLUIDS,BS,₱20.00,₱50.00,4,PC,0,NA,,,,,,,,,,,,,,,,
OIL FILTER SHOGUN,FUEL SYSTEM,BS,₱20.00,₱50.00,4,PC,0,NA,,,,,,,,,,,,,,,,
OIL FILTER SUZUKI,LUBE&FLUIDS,BS,₱20.00,₱50.00,27,PC,0,NA,,,,,,,,,,,,,,,,
OIL FILTER SUZUKI,FUEL SYSTEM,BS,₱20.00,₱50.00,27,PC,0,NA,,,,,,,,,,,,,,,,
OIL FILTER YAMAHA,LUBE&FLUIDS,BS,₱20.00,₱50.00,35,PC,0,NA,,,,,,,,,,,,,,,,
OIL FILTER YAMAHA,FUEL SYSTEM,BS,₱20.00,₱50.00,35,PC,0,NA,,,,,,,,,,,,,,,,
OVERHAULING GASKET AMCO W125,ENGINE,ZF,₱65.00,₱200.00,10,SET,0,NA,,,,,,,,,,,,,,,,
OVERHAULING GASKET AMCO XRM110,ENGINE,ZF,₱65.00,₱200.00,10,SET,0,NA,,,,,,,,,,,,,,,,
OVERHAULING GASKET APPLE SMASH115,ENGINE,QFS,₱350.00,₱550.00,4,SET,0,NA,,,,,,,,,,,,,,,,
OVERHAULING GASKET CSL SMASH115,ENGINE,LS,₱80.00,₱250.00,4,SET,0,NA,,,,,,,,,,,,,,,,
OVERHAULING GASKET KHC CLICK125,ENGINE,JF,₱95.00,₱280.00,1,SET,0,NA,,,,,,,,,,,,,,,,
OVERHAULING GASKET KHC DREAM/RUSI/C100,ENGINE,LS,₱80.00,₱250.00,5,SET,0,NA,,,,,,,,,,,,,,,,
OVERHAULING GASKET KHC MIO125/M3,ENGINE,NQB,₱132.00,₱350.00,1,SET,0,NA,,,,,,,,,,,,,,,,
OVERHAULING GASKET KHC NMAX V1,ENGINE,JF,₱95.00,₱280.00,1,SET,0,NA,,,,,,,,,,,,,,,,
OVERHAULING GASKET KHC ROUSER135,ENGINE,FF,₱55.00,₱150.00,1,SET,0,NA,,,,,,,,,,,,,,,,
OVERHAULING GASKET KRS CRYPTON,ENGINE,VS,₱70.00,₱180.00,1,SET,0,NA,,,,,,,,,,,,,,,,
OVERHAULING GASKET KRS FURY125,ENGINE,NSC,₱100.00,₱200.00,4,SET,0,NA,,,,,,,,,,,,,,,,
OVERHAULING GASKET KRS TMX,ENGINE,NSC,₱100.00,₱200.00,2,SET,0,NA,,,,,,,,,,,,,,,,
OVERHAULING GASKET KRS VEGA FORCE,ENGINE,LS,₱80.00,₱180.00,1,SET,0,NA,,,,,,,,,,,,,,,,
OVERHAULING GASKET KRS W110,ENGINE,LS,₱80.00,₱180.00,1,SET,0,NA,,,,,,,,,,,,,,,,
